steps,rewards
22,22.0
51,29.0
73,22.0
93,20.0
106,13.0
128,22.0
152,24.0
166,14.0
183,17.0
201,18.0
214,13.0
228,14.0
250,22.0
264,14.0
274,10.0
287,13.0
296,9.0
310,14.0
323,13.0
337,14.0
348,11.0
367,19.0
386,19.0
399,13.0
411,12.0
421,10.0
431,10.0
441,10.0
452,11.0
465,13.0
478,13.0
491,13.0
502,11.0
512,10.0
525,13.0
537,12.0
547,10.0
557,10.0
568,11.0
584,16.0
595,11.0
606,11.0
616,10.0
629,13.0
638,9.0
647,9.0
663,16.0
674,11.0
690,16.0
701,11.0
714,13.0
723,9.0
735,12.0
747,12.0
756,9.0
767,11.0
777,10.0
785,8.0
798,13.0
809,11.0
820,11.0
831,11.0
842,11.0
851,9.0
861,10.0
871,10.0
881,10.0
891,10.0
903,12.0
914,11.0
924,10.0
934,10.0
946,12.0
960,14.0
969,9.0
979,10.0
988,9.0
999,11.0
1008,9.0
1021,13.0
1030,9.0
1042,12.0
1051,9.0
1062,11.0
1076,14.0
1087,11.0
1097,10.0
1105,8.0
1118,13.0
1138,20.0
1147,9.0
1158,11.0
1170,12.0
1180,10.0
1189,9.0
1201,12.0
1211,10.0
1222,11.0
1232,10.0
1242,10.0
1251,9.0
1263,12.0
1276,13.0
1287,11.0
1297,10.0
1306,9.0
1318,12.0
1328,10.0
1337,9.0
1348,11.0
1357,9.0
1368,11.0
1378,10.0
1387,9.0
1396,9.0
1405,9.0
1414,9.0
1422,8.0
1432,10.0
1443,11.0
1453,10.0
1466,13.0
1477,11.0
1486,9.0
1509,23.0
1518,9.0
1528,10.0
1537,9.0
1546,9.0
1554,8.0
1565,11.0
1576,11.0
1584,8.0
1593,9.0
1602,9.0
1611,9.0
1620,9.0
1630,10.0
1639,9.0
1650,11.0
1659,9.0
1668,9.0
1677,9.0
1686,9.0
1694,8.0
1703,9.0
1713,10.0
1722,9.0
1737,15.0
1747,10.0
1756,9.0
1766,10.0
1776,10.0
1785,9.0
1794,9.0
1803,9.0
1812,9.0
1828,16.0
1837,9.0
1851,14.0
1861,10.0
1870,9.0
1878,8.0
1888,10.0
1898,10.0
1907,9.0
1925,18.0
1933,8.0
1943,10.0
1953,10.0
1965,12.0
1973,8.0
1983,10.0
1996,13.0
2006,10.0
2016,10.0
2026,10.0
2037,11.0
2048,11.0
2058,10.0
2067,9.0
2076,9.0
2087,11.0
2112,25.0
2121,9.0
2131,10.0
2141,10.0
2150,9.0
2160,10.0
2171,11.0
2181,10.0
2191,10.0
2205,14.0
2215,10.0
2223,8.0
2235,12.0
2246,11.0
2257,11.0
2266,9.0
2276,10.0
2285,9.0
2295,10.0
2305,10.0
2314,9.0
2324,10.0
2333,9.0
2341,8.0
2351,10.0
2360,9.0
2370,10.0
2395,25.0
2405,10.0
2416,11.0
2427,11.0
2439,12.0
2450,11.0
2458,8.0
2467,9.0
2481,14.0
2497,16.0
2511,14.0
2521,10.0
2533,12.0
2547,14.0
2555,8.0
2566,11.0
2583,17.0
2594,11.0
2609,15.0
2621,12.0
2637,16.0
2653,16.0
2667,14.0
2680,13.0
2691,11.0
2705,14.0
2719,14.0
2742,23.0
2754,12.0
2770,16.0
2781,11.0
2795,14.0
2814,19.0
2826,12.0
2840,14.0
2851,11.0
2864,13.0
2880,16.0
2890,10.0
2902,12.0
2917,15.0
2928,11.0
2937,9.0
2955,18.0
2964,9.0
2982,18.0
2991,9.0
3001,10.0
3013,12.0
3031,18.0
3040,9.0
3050,10.0
3067,17.0
3090,23.0
3099,9.0
3108,9.0
3118,10.0
3127,9.0
3148,21.0
3158,10.0
3170,12.0
3187,17.0
3200,13.0
3261,61.0
3275,14.0
3297,22.0
3396,99.0
3431,35.0
3445,14.0
3493,48.0
3529,36.0
3620,91.0
3739,119.0
3769,30.0
3781,12.0
3810,29.0
3857,47.0
3978,121.0
4000,22.0
4029,29.0
4062,33.0
4230,168.0
4370,140.0
4501,131.0
4717,216.0
5046,329.0
5303,257.0
5492,189.0
5693,201.0
5892,199.0
6098,206.0
6239,141.0
6460,221.0
6683,223.0
6813,130.0
7057,244.0
7208,151.0
7460,252.0
7607,147.0
7821,214.0
7964,143.0
8088,124.0
8278,190.0
8471,193.0
8726,255.0
9057,331.0
9225,168.0
9461,236.0
9647,186.0
9859,212.0
10021,162.0
10204,183.0
10358,154.0
10643,285.0
10868,225.0
11027,159.0
11202,175.0
11378,176.0
11544,166.0
11692,148.0
11835,143.0
11994,159.0
12190,196.0
12395,205.0
12561,166.0
12732,171.0
12912,180.0
13091,179.0
13292,201.0
13480,188.0
13803,323.0
13999,196.0
14181,182.0
14488,307.0
14706,218.0
15049,343.0
15366,317.0
15579,213.0
15906,327.0
16191,285.0
16409,218.0
16760,351.0
17085,325.0
17238,153.0
17406,168.0
17599,193.0
17766,167.0
17953,187.0
18094,141.0
18237,143.0
18412,175.0
18557,145.0
18695,138.0
18866,171.0
19016,150.0
19146,130.0
19273,127.0
19402,129.0
19521,119.0
19655,134.0
19781,126.0
19900,119.0
